,name,diff_num,hunk_num,func_num,Memoery_num_total,Memoery_del_num,Memoery_add_num,Conditions_num_total,Conditions_num_del,Conditions_num_add,Jump_num_total,Jump_num_del,Jump_num_add,Loop_num_total,Loop_num_del,Loop_num_add,Arithmetic_num_total,Arithmetic_num_del,Arithmetic_num_add,relation_num_total,relation_num_del,relation_num_add,Logic_num_total,Logic_num_del,Logic_num_add,bitwise_num_total,bitwise_num_del,bitwise_num_add,Funccall_num_total,Funccall_num_del,Funccall_num_add,Variables_num_total,Variables_num_del,Variables_num_add
0,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-0284/e1ce,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,6,0,6
1,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-0427/9bcb,1,3,1,6,3,3,14,7,7,2,1,1,10,5,5,4,2,2,0,0,0,25,13,12,0,0,0,1,1,1,13,11,9
2,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1070/f9ab,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,3,0,3
3,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1091/ef34,1,3,2,0,0,0,7,2,5,1,0,1,1,0,1,4,2,2,4,2,2,5,0,5,0,0,0,1,0,1,10,2,10
4,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1162/adfe,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,5,2,3,3,1,2,0,0,0,0,0,0,1,1,1,6,4,6
5,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1162/0913,1,2,1,1,0,1,2,1,1,0,0,0,0,0,0,4,1,3,3,1,2,0,0,0,0,0,0,2,1,2,6,4,6
6,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1527/7390,3,6,3,0,0,0,4,0,4,5,1,4,0,0,0,5,2,3,4,1,3,1,1,0,0,0,0,2,2,1,10,7,10
7,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1529/7390,3,6,3,0,0,0,4,0,4,5,1,4,0,0,0,5,2,3,4,1,3,1,1,0,0,0,0,2,2,1,10,7,10
8,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1530/8d6a,1,1,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,3
9,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/patches/CVE-2011-1575/65c4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,4,3,4
